Infraccio_Codi;Infraccio_Desc_Curta_CA;Infraccio_Desc_Curta_ES;Infraccio_Desc_Llarga_CA;Infraccio_Desc_Llarga_ES;Data_Inici_Vigencia;Data_Fi_Vigencia;Article;Normativa;Import_Nominal_?;Tipus_Infraccio;Punts_A_Retirar;Autoritat
3295;NEGATIVA PROVA ALCOHOL IMPLICAT ACCIDENT O COMES INFRACCIO;NEGATIVA PRUEBA ALCOHOL IMPLICADO ACCIDENTE O INFRACCION;No sotmetre's a les proves per a la deteccio alcoholica si s'esta implicat en accident de transit o comes una infraccio (vianants, etc.);-;2016-01-31;9999-12-31;14. 2;LSV;1000;M;0;Il.lm./a Sr./a Regidor/a del Districte
3296;CONDUIR VEHICLE AMB PRESENCIA A L'ORGANISME DE DROGUES;CONDUCIR VEHICULO CON PRESENCIA EN EL ORGANISMO DE DROGAS;Conduir un vehicle amb presencia de drogues a l'organisme;-;2016-01-31;9999-12-31;14. 1;LSV;1000;M;6;Il.lm./a Sr./a  Primer Tinent/a d'Alcaldia.
3297;CONDUIR VEHICLE AMB PRESENCIA DE DROGUES SENSE PERMIS/LLICEN;CONDUCIR VEHICULO CON PRESENCIA DE DROGAS SIN PERMISO/LICENC;Conduir un vehicle, sense tenir el permis / la llicencia de conduir, amb presencia de drogues a l'organisme;-;2016-01-31;9999-12-31;14. 1;LSV;1000;M;0;Il.lm./a Sr./a Regidor/a del Districte
3298;CONDUIR BICI/VMP/CICLE AMB PRESENCIA DROGUES A L'ORGANISME;CONDUCIR BICI/VMP/CICLO CON PRESENCIA DROGAS EN ORGANISMO;Conduir una BICI/VMP/CICLE amb presencia de drogues a l'organisme;-;2017-07-01;9999-12-31;14. 1;LSV;1000;M;0;Il.lm./a Sr./a Regidor/a del Districte
3299;NEGATIVA A PROVA DETECC.DROGUES A L'ORGANISME CONDUC.VEHICLE;NEGATIVA A PRUEBA DETECC.DROGAS EN EL ORG.CONDUCTOR VEHICULO;No sotmetre's, el conductor un vehicle  a les proves per a la deteccio de drogues a organisme;-;2016-01-31;9999-12-31;14. 2;LSV;1000;M;6;Il.lm./a Sr./a  Primer Tinent/a d'Alcaldia.
3300;NEGATIVA DETECCIO DROGUES CONDUCTOR SENSE PERMIS/LLICENCIA;NEGATIVA DETECCION DROGAS CONDUCTOR SIN PERMISO/LICENCIA CON;No sotmetre's, el conductor d'un vehicle, sense tenir el permis / la llicencia de conduir,  a les proves per a la deteccio de drogues a l'organisme;-;2016-01-31;9999-12-31;14. 2;LSV;1000;M;0;Il.lm./a Sr./a Regidor/a del Districte
3301;NEGATIVA PROVA DETECCIO DROGUES ORGAN. BICI/VMP/CICLE;NEGATIVA PRUEBA DETEC.DROGAS EN ORGAN. BICI/VMP/CICLO;No sotmetre's, el conductor d'una BICI/VMP/CICLE, a les proves per a la deteccio de drogues a l'organisme;-;2017-07-31;9999-12-31;14. 2;LSV;1000;M;0;Il.lm./a Sr./a Regidor/a del Districte
3306;NEGATIVA DETECCIO DROGUES IMPLICAT ACCIDENT O COMES INFRACCI;NEGATIVA DETECCION DROGAS IMPLICADO ACCIDENTE O INFRACCION;No sotmetre's a les proves per a la deteccio de drogues , si s'esta implicat en accident de transit o comes una infraccio  (vianants,  etc.);-;2016-01-31;9999-12-31;14. 2;LSV;1000;M;0;Il.lm./a Sr./a Regidor/a del Districte
3307;INCOMPLIR NORMES US ALCOHOLIMETRE ANTIENGEGADA;INCUMPLIIR NORMAS USO ALCOHOLIMETRO ANTIARRANQUE;Incomplir les normes sobre us dels alcoholimetres antiengegada (manipulacio o manca us);"Incumplir las normas sobre el uso de los alcoholimetros \\""\""\""antiarranque\""\""\""\"" (manipulacion o falta de unos)""";2022-03-16;9999-12-31;77. W;LSV;500;M;0;Il.lm./a Sr./a Regidor/a del Districte
3388;CONDUCTOR MENOR TAXA ALCOHOL FINS 0,15 MG/L SENSE PERMIS;CONDUCTOR MENOR TAXA ALCOHOL HASTA 0,15 MG/L SIN PERMISO;Conduir un menor edat un vehicle. Taxa d'alcohol en aire expirat superior a 0,0 mg/l, fins a 0,15 mg/l sense tenir el permis / llicencia de conduir;Conducir un menor edad un vehiculo. Tasa alcohol en aire expirado superior a 0,0 mg/l, hasta 0,15 mg/l sin tener permiso /licencia de conducir;2022-03-21;9999-12-31;14. 1;LSV;500;M;0;Il.lm./a Sr./a Regidor/a del Districte
3389;CONDUCTOR MENOR NOVELL TAXA ALCOHOL FINS 0,15 MG/L;CONDUCTOR MENOR NOVEL TAXA ALCOHOL HASTA 0,15 MG/L;Conduir un menor edat un vehicle. Taxa alcohol en aire expirat superior a 0,0 mg/l, fins a 0,15 mg/l conductor novell;Conducir un menor edad un vehiculo. Tasa alcohol en aire expirado superior a 0,0 mg/l, hasta 0,15 mg/l conductor novel;2022-03-21;9999-12-31;14. 1;LSV;500;M;0;Il.lm./a Sr./a Regidor/a del Districte
