price,rooms,bathroom,lift,terrace,square_meters,real_state,neighborhood
850,1,1,TRUE,FALSE,39,apartment,Sarria-Sant Gervasi
15000,4,3,TRUE,FALSE,450,apartment,Sarria-Sant Gervasi
1800,2,2,TRUE,FALSE,112,apartment,Eixample
800,2,1,TRUE,FALSE,59,apartment,Sarria-Sant Gervasi
2457,2,2,FALSE,FALSE,75,apartment,Ciutat Vella
2000,4,1,FALSE,FALSE,140,apartment,Horta- Guinardo
900,1,1,FALSE,FALSE,40,apartment,Sant Andreu
1500,2,2,FALSE,FALSE,95,apartment,Les Corts
2200,2,2,FALSE,FALSE,65,apartment,Eixample
1452,1,1,FALSE,FALSE,45,apartment,Ciutat Vella
1500,2,1,FALSE,FALSE,86,apartment,Ciutat Vella
850,1,1,FALSE,FALSE,25,apartment,Ciutat Vella
1500,1,1,TRUE,TRUE,51,apartment,Eixample
3850,5,3,TRUE,FALSE,277,apartment,Sarria-Sant Gervasi
3164,5,3,TRUE,TRUE,274,apartment,Sarria-Sant Gervasi
1200,1,1,TRUE,FALSE,55,apartment,Sarria-Sant Gervasi
2300,5,3,TRUE,TRUE,149,apartment,Sarria-Sant Gervasi
1300,3,2,TRUE,FALSE,117,apartment,Sarria-Sant Gervasi
1750,3,3,TRUE,FALSE,97,apartment,Sarria-Sant Gervasi
1150,1,1,TRUE,FALSE,42,apartment,Eixample
940,0,1,TRUE,FALSE,56,apartment,Les Corts
1050,1,1,TRUE,TRUE,70,apartment,Sarria-Sant Gervasi
1290,2,1,TRUE,FALSE,83,apartment,Les Corts
700,1,1,TRUE,FALSE,42,apartment,Sant Martí
975,1,1,TRUE,FALSE,75,apartment,Sarria-Sant Gervasi
790,1,1,TRUE,FALSE,58,apartment,Ciutat Vella
1500,2,2,FALSE,FALSE,91,apartment,Ciutat Vella
1575,1,1,FALSE,FALSE,50,apartment,Eixample
5476,4,2,FALSE,FALSE,60,apartment,Sants-Montjuic
3450,2,1,FALSE,FALSE,105,apartment,Ciutat Vella
1938,1,1,FALSE,FALSE,60,apartment,Ciutat Vella
850,1,1,TRUE,FALSE,45,apartment,Les Corts
1040,2,1,TRUE,FALSE,66,apartment,Sants-Montjuic
1195,1,1,FALSE,FALSE,70,apartment,Sarria-Sant Gervasi
1800,1,1,TRUE,FALSE,75,apartment,Ciutat Vella
2800,3,2,TRUE,TRUE,138,apartment,Eixample
2550,2,2,FALSE,FALSE,135,apartment,Ciutat Vella
1200,1,1,TRUE,FALSE,50,apartment,Sarria-Sant Gervasi
1000,3,1,FALSE,FALSE,78,apartment,Sant Martí
525,0,1,FALSE,FALSE,27,apartment,Ciutat Vella
850,2,2,FALSE,FALSE,85,apartment,Ciutat Vella
1735,2,1,FALSE,FALSE,70,apartment,Eixample
1210,1,1,FALSE,FALSE,65,apartment,Eixample
1735,2,1,FALSE,FALSE,70,apartment,Eixample
1161,1,1,FALSE,FALSE,28,apartment,Eixample
2303,2,2,TRUE,FALSE,100,apartment,Eixample
4700,3,2,FALSE,FALSE,80,apartment,Ciutat Vella
1256,1,1,FALSE,FALSE,45,apartment,Sant Martí
1050,2,1,TRUE,FALSE,55,apartment,Les Corts
700,1,1,FALSE,FALSE,31,apartment,Sarria-Sant Gervasi
1600,3,2,TRUE,FALSE,130,apartment,Ciutat Vella
1500,2,1,FALSE,FALSE,90,apartment,Eixample
1675,3,2,TRUE,TRUE,94,apartment,Eixample
700,0,1,FALSE,FALSE,29,apartment,Ciutat Vella
720,2,1,FALSE,FALSE,45,apartment,Eixample
2500,5,3,TRUE,TRUE,181,apartment,Sarria-Sant Gervasi
2300,2,2,TRUE,FALSE,105,apartment,Eixample
