Time	User	ID	Text
Mon Apr 04 20:45:51 +0000 2016	JohnNadie	717090831128260608	RT @ciktricstrans: Avuu @lagentnormal33 fan a  #tv3CompliceTrataMenors  La tv pública al servei d qui?  @MDDONESCAT https://t.co/nC9Deqby1v
Mon Apr 04 20:45:44 +0000 2016	ciktricstrans	717090799842942982	RT @PSUC_Stako: @PSUC_Viu rebutja que @tv3cat fomenti la ideologia prostituent al programa @lagentnormal33  #tv3complicetractamenors https:…
Mon Apr 04 20:45:44 +0000 2016	Caterinamieras	717090799415074816	RT @_donesPSC: 10% de "clients" reconeixen que prostitueixen menors. En parlarà @tv3cat?#yonosoycomplice #lagentnormal33  https://t.co/tR74…
Mon Apr 04 20:45:43 +0000 2016	meadow895	717090798467211264	@lagentnormal33 Els joves estudien periodisme per a guanyar diners ??
Mon Apr 04 20:45:39 +0000 2016	EticaA	717090779836129280	RT @imoraleda: On son les "altres" les que son prostituides? Elles no tenen veu! #yonosoycomplice #lagentnormal33
Mon Apr 04 20:45:26 +0000 2016	torres_alcantar	717090725305913344	RT @ciktricstrans: Avui @lagentnormal33 fa a @tv3cat #tv3CompliceTrataMenors protesta en xarxa https://t.co/3gwyhVx6fR
Mon Apr 04 20:45:23 +0000 2016	escolane	717090713087946753	@imoraleda @moisesta Conec molt poca gent que sigui 'lliure' per escollir una feina. La prostitució és senzillament una més #lagentnormal33
Mon Apr 04 20:45:16 +0000 2016	ciktricstrans	717090682721140736	RT @Delfindeazul: @lagentnormal33 @tv3.cat #tv3complicetractamenors #tv3amagalatrata. I la realitat de la majoria es https://t.co/c8KwZ1wrJZ
Mon Apr 04 20:45:13 +0000 2016	ciktricstrans	717090670587076608	RT @hopetarragona: Pues nada q ser PUTA es un trabajo normal! #tv3complicetractamenors nada a ver lo normal q les parece si son sus hijas!…
Mon Apr 04 20:45:07 +0000 2016	ejanet15	717090643940663296	.#LaGentNormal33 #putafemista Tertulia @PaulaVip dando una lección de lo q d VerdadTortura,Estigma pk juzgar s Fácil https://t.co/DGnWIzsI5N
Mon Apr 04 20:45:04 +0000 2016	ciktricstrans	717090634964803584	RT @hopetarragona: @Aprosex q vergüenza #lagentnormal33 amantes, amigos, novios...q bonito! Nada todas a ser PUTAS #tv3complicetractamenors
Mon Apr 04 20:45:00 +0000 2016	ciktricstrans	717090616304381952	RT @bernatescudero: @tv3cat @lagentnormal33 llavors, si és tan maco i tan segur prostituir-se, com és que hi ha tant tràfic de dones?? #tv3…
Mon Apr 04 20:44:55 +0000 2016	crismdmujeres	717090593789317121	RT @TradxAbolicion: Y @feminismosenred dándole cancha. #NoEsNuestraRevolucion #lagentnormal33 @MDMujeres #tv3ContraTractaMenors @MDDONESCAT
